title,summary,url,image_url,pub_date,source,topics
"RVNL emerges as the lowest bidder for IRCON contract, second order win within five days","Shares of Rail Vikas Nigam Ltd (RVNL) are in focus on Tuesday, May 20, after the company won its second order within five days on Monday. RVNL emerged as the lowest bidder for an order from IRCON International Ltd. The contract is for the supply of various signalling, telecommunications and electronic in-motion weigh bridge (EIMWB) materials.",https://www.cnbctv18.com/market/rvnl-share-price-ircon-order-lowest-bidder-contract-value-timeline-returns-railway-stocks-19606992.htm,"https://images.cnbctv18.com/uploads/2024/12/stock-market-2024-12-b28808ac008b680321649e163e6cf702.jpg?im=FitAndFill,width=500,height=300",2025-05-20T09:07:39,CNBC TV18,['Procurement and Sales']
Heritage Foods eyes protein market,"Heritage Foods, the Hyderabad-based dairy products company, is looking to tap the protein opportunity. Though some of its products already contain proteins, the company hopes to launch enhanced protein products soon, according to Srideep N Kesavan, CEO of Heritage Foods Ltd. The company has lined up a capital expenditure of ₹400 crore in the next 18-24 months.",https://www.thehindubusinessline.com/companies/heritage-foods-eyes-protein-market/article69594050.ece,https://bl-i.thgim.com/public/todays-paper/tp-agri-biz-and-commodity/pjod5x/article68534522.ece/alternates/LANDSCAPE_1200/Iran-turns-saviGOTD74Q46.4.jpg.jpg,2025-05-20T09:07:21,The Hindu BusinessLine,"['New Offerings', 'Capital Investment']"
Borosil Renewables to invest ₹950 crore to expand solar glass unit in Gujarat by 600 TPD,Borosil Renewables Ltd has laid the foundation stone for a ₹950-crore expansion project in Gujarat that has a solar glass production capacity of 600 tonnes per day (TPD) from the third quarter of financial year 2026-27.,https://www.thehindubusinessline.com/companies/borosil-renewables-to-invest-950-crore-to-expand-solar-glass-unit-in-gujarat-by-600-tpd/article69593938.ece,https://bl-i.thgim.com/public/incoming/bvgbif/article69590214.ece/alternates/LANDSCAPE_1200/IMG_PO11_Analysis_2_1_QHCD0J8P.jpg,2025-05-20T08:58:37,The Hindu BusinessLine,['Capital Investment']
"Mahadev betting case: ED investigates EaseMyTrip CEO Nishant Pitti, says report","The Enforcement Directorate (ED) has broadened its investigation into the Mahadev betting app scam, bringing Nishant Pitti, CEO of the listed travel company Easy Trip Planners Ltd (EaseMyTrip), under scrutiny, an Economic Times report said on Tuesday.",https://www.moneycontrol.com/europe/?url=https://www.moneycontrol.com/news/business/mahadev-betting-case-ed-investigates-easemytrip-ceo-nishant-pitti-says-report-13033713.html,https://images.moneycontrol.com/static-mcnews/2021/07/Nishant-Pitti-1280x720.jpg,2025-05-20T08:58:04,Moneycontrol,"['Regulatory and Legal', 'Negative News']"
Foods & Inns consolidated net profit rises 338.43% in the March 2025 quarter,Sales rise 15.09% to Rs 397.33 crore Net profit of Foods & Inns rose 338.43% to Rs 22.93 crore in the quarter ended March 2025 as against Rs 5.23 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/foods-inns-consolidated-net-profit-rises-338-43-in-the-march-2025-quarter-125052000212_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T08:58:00,Business Standard,['Financial Results']
"Power Grid shares in focus on in-line Q4 show, Morgan Stanley maintains 'equal-weight'","Public-sector firm Power Grid Corporation of India Ltd.'s shares will be in focus on Tuesday, May 20, after reporting flat profit growth for the three months ended March 31, 2025. Power Grid reported its financial results for the fourth quarter of FY2025, posting a slight 0.6 percent decline in net profit at Rs 4,143 crore compared to Rs 4,166 crore in the same quarter last year.",https://www.moneycontrol.com/news/business/markets/power-grid-shares-in-focus-on-in-line-q4-show-morgan-stanley-maintains-equal-weight-13033412.html,https://images.moneycontrol.com/static-mcnews/2022/06/POWER-GRID-CORPORATION2.jpg,2025-05-20T08:21:41,Moneycontrol,['Financial Results']
Gurugram real estate: Oberoi Realty to enter Gurugram with high-end luxury project inspired by Three Sixty West,"Mumbai-based Oberoi Realty is set to enter the Gurugram real estate market with a high-end luxury project, featuring apartments ranging from 5,000 to 8,000 sq ft, according to Vikas Oberoi, CMD of Oberoi Realty. Oberoi said the Gurugram project will be modeled after the company’s flagship luxury development, Three Sixty West, located in Mumbai’s Worli.",https://www.hindustantimes.com/real-estate/gurugram-real-estate-oberoi-realty-to-enter-gurugram-with-high-end-luxury-project-inspired-by-three-sixty-west-101747655289940.html,https://www.hindustantimes.com/ht-img/img/2025/05/19/1600x900/vikas_oberoi_1724661169587_1747656119720.jpeg,2025-05-20T08:04:55,Hindustan Times,[]
Quess Corp reports consolidated net loss of Rs 95.49 crore in the March 2025 quarter,Sales rise 3.38% to Rs 3656.42 crore Net loss of Quess Corp reported to Rs 95.49 crore in the quarter ended March 2025 as against net profit of Rs 94.38 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/quess-corp-reports-consolidated-net-loss-of-rs-95-49-crore-in-the-march-2025-quarter-125052000210_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:47:00,Business Standard,['Financial Results']
Vivo Bio Tech consolidated net profit rises 43.24% in the March 2025 quarter,Sales rise 4.51% to Rs 12.29 crore Net profit of Vivo Bio Tech rose 43.24% to Rs 1.06 crore in the quarter ended March 2025 as against Rs 0.74 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/vivo-bio-tech-consolidated-net-profit-rises-43-24-in-the-march-2025-quarter-125052000189_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
Carysil consolidated net profit rises 19.64% in the March 2025 quarter,Sales rise 7.16% to Rs 204.18 crore Net profit of Carysil rose 19.64% to Rs 18.58 crore in the quarter ended March 2025 as against Rs 15.53 crore during the previous quarter ended March 2024. Sales rose 7.16% to Rs 204.18 crore in the quarter ended March 2025 as against Rs 190.53 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/carysil-consolidated-net-profit-rises-19-64-in-the-march-2025-quarter-125052000203_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
